"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Belize","iNEXT",163,199.73652859237535,15.067247344448106,170.2052664511003,229.2677907336504,"2728",NA,3
"Nicaragua","iChao",NA,213.623,NA,202.938,229.286,"3777",6.623,15
"Belize","iChao",NA,205.257,NA,189.929,229.311,"2610",9.844,3
"Rep. Congo","iChao",NA,185.292,NA,158.831,229.33,"746",17.525,17
"Nicaragua","iChao",NA,214.474,NA,204.086,229.343,"3519",6.36,15
"Belize","iChao",NA,206.124,NA,191.022,229.366,"2662",9.601,3
"Botswana","iChao",NA,209.036,NA,194.177,229.393,"812",8.894,3
"Guernsey","iNEXT",112,176.42413987591652,27.026938559670384,123.45231368658574,229.3959660652473,"591",NA,9
"El Salvador","iChao",NA,184.687,NA,158.416,229.404,"2132",17.606,7
"Vietnam","iNEXT",118,189.08195247991912,20.573293041291123,148.75903907560001,229.40486588423823,"937",NA,24
"Belize","iChao",NA,205.742,NA,190.509,229.409,"2623",9.732,3
"Belize","iNEXT",163,200.4851072279587,14.777206633375608,171.52231443443614,229.44790002148127,"2518",NA,3
"Grenada","iChao",NA,58.438,NA,23.164,229.494,"24",42.471,9
